tray_id,id,germ_day,cross,class,day_4,day_17,height_122
1_1,1_1,4,B12.10xB12.1,F2,NA,30.2,16
1_2,1_2,3,B12.10xB12.1,F2,1.686,58.6,12.5
1_3,1_3,5,B12.10xB12.1,F2,NA,23.3,10
1_4,1_4,4,B12.10xB12.1,F2,NA,48.2,16
1_5,1_5,4,B12.10xB12.1,F2,NA,19.5,12
1_6,1_6,7,B12.10xB12.1,F2,NA,11.6,16.5
1_7,2_1,3,B12.10xB12.1,F2,3.77,77.5,10.5
1_9,2_2,4,B12.10xB12.1,F2,1.073,19.3,NA
1_10,2_3,6,B12.10xB12.1,F2,NA,15.5,5
1_11,2_4,5,B12.10xB12.1,F2,NA,32,11
1_12,2_5,6,B12.10xB12.1,F2,NA,14.2,10.5
1_13,2_6,5,B12.10xB12.1,F2,NA,8.8,NA
1_14,3_1,7,B12.10xB12.1,F2,NA,4.9,8.5
1_15,3_2,3,B12.10xB12.1,F2,1.723,30.5,13
1_16,3_3,6,B12.10xB12.1,F2,NA,18.3,6
1_17,3_4,6,B12.10xB12.1,F2,NA,10.2,8
1_18,3_5,3,B12.10xB12.1,F2,2.646,34.3,13
1_19,3_6,3,B12.10xB12.1,F2,2.589,40.8,11
1_20,4_1,3,B12.10xB12.1,F2,1.787,46,12
1_22,4_2,7,B12.10xB12.1,F2,NA,4.9,15.5
1_23,4_3,3,B12.10xB12.1,F2,1.785,33.6,15
1_24,4_4,3,B12.10xB12.1,F2,1.427,41.8,9.5
1_25,4_5,6,B12.10xB12.1,F2,NA,8,16.5
1_26,4_6,3,B12.10xB12.1,F2,2.878,33.6,10.5
1_27,5_1,3,B12.10xB12.1,F2,3.057,42.7,6
1_28,5_2,6,B12.10xB12.1,F2,NA,15.9,10.5
1_29,5_3,9,B12.10xB12.1,F2,NA,4.6,NA
1_31,5_4,6,B12.10xB12.1,F2,NA,11.9,6
1_32,5_5,6,B12.10xB12.1,F2,NA,13.2,NA
1_33,5_6,3,B12.10xB12.1,F2,2.947,27.4,9.5
1_36,6_1,3,B12.10xB12.1,F2,1.482,29.5,14.5
1_37,6_2,3,B12.10xB12.1,F2,1.389,16.8,16.5
1_39,6_3,7,B12.10xB12.1,F2,NA,6.3,13
1_40,6_4,3,B12.10xB12.1,F2,3.27,51,17
1_41,6_5,7,B12.10xB12.1,F2,NA,11,10.5
1_43,6_6,5,B12.10xB12.1,F2,NA,18,10
1_45,7_1,4,B12.10xB12.1,F2,NA,14.8,11.5
1_48,7_2,3,B12.10xB12.1,F2,1.691,53.5,14
1_49,7_3,7,B12.10xB12.1,F2,NA,10.4,13.5
1_52,7_4,3,B12.10xB12.1,F2,2.199,63.4,NA
1_53,7_5,5,B12.10xB12.1,F2,NA,12.4,NA
1_54,7_6,6,B12.10xB12.1,F2,NA,11.1,NA
1_55,8_1,7,B12.10xB12.1,F2,NA,13.8,9
1_56,8_2,3,B12.10xB12.1,F2,1.771,57.5,14
1_58,8_3,3,B12.10xB12.1,F2,1.892,33.3,12.5
1_60,8_4,7,B12.10xB12.1,F2,NA,9.1,19
1_61,8_5,3,B12.10xB12.1,F2,0.978,17,8
1_62,8_6,7,B12.10xB12.1,F2,NA,8.5,13
1_63,9_1,3,B12.10xB12.1,F2,1.723,47.5,9.5
1_64,9_2,3,B12.10xB12.1,F2,NA,5.2,10.5
1_66,9_3,3,B12.10xB12.1,F2,NA,30.7,13.5
1_68,9_4,6,B12.10xB12.1,F2,NA,15.4,16
1_69,9_5,5,B12.10xB12.1,F2,NA,12.9,14
1_70,9_6,11,B12.10xB12.1,F2,NA,3.4,10
1_72,10_1,5,B12.10xB12.1,F2,NA,23.9,17.5
1_73,10_2,3,B12.10xB12.1,F2,0.838,23.3,9
1_74,10_3,3,B12.10xB12.1,F2,2.499,41.4,9
1_75,10_4,3,B12.10xB12.1,F2,3.749,43.8,16
1_77,10_5,9,B12.10xB12.1,F2,NA,6.8,8.5
1_79,10_6,3,B12.10xB12.1,F2,2.999,38.7,12
